精拓科技股份有限公司,10wkh3pc
華擎科技股份有限公司,10wkk4i0
瑞鼎科技股份有限公司,10zv3t2o
鴻璟科技股份有限公司,110xrm0g
立積電子股份有限公司,112000xs
財團法人金屬工業研究發展中心,129muo8p
智原科技股份有限公司,12no6e8w
義隆電子股份有限公司,12no9wsg
世界先進積體電路股份有限公司,12nocs6o
智捷科技股份有限公司,12nodurk
天鈺科技股份有限公司,12nofszc
友達光電股份有限公司,12nokxe8
晶元光電股份有限公司,12nolyfk
昇陽國際半導體股份有限公司,12noo21s
聯詠科技股份有限公司,12nopku0
聯發科技股份有限公司,12noppgo
甲尚股份有限公司,12swdh0w
彩富電子股份有限公司,13kvx5w0
蒙恬科技股份有限公司,13n1ijm8
矽創電子股份有限公司,13ufx7i8
南亞科技股份有限公司,152cvzls
宇峻奧汀科技股份有限公司,154in7zc
科盛科技股份有限公司,1569whgo
財團法人國家衛生研究院,169tvn88
宇匯知識科技股份有限公司,18rbx5fk
創惟科技股份有限公司,18rejv5k
慧榮科技股份有限公司,18rhl2hc
興誠科技股份有限公司,18ryzzxc
財團法人工業技術研究院,19huomw
誠雲科技股份有限公司,1a2x6bi9dw
伊雲谷數位科技股份有限公司,1a2x6bilhz
新加坡商鈦坦科技股份有限公司台灣分公司,1a2x6bin60
恆勁科技股份有限公司,1a2x6bippr
沛星互動科技股份有限公司,1a2x6biwai
安華聯網科技股份有限公司,1a2x6bizw6
宜眾資訊股份有限公司,1a2x6bj7kw
玩美移動股份有限公司,1a2x6bjgwu
永擎電子股份有限公司,1a2x6bjjxi
雲蓮科技股份有限公司,1a2x6bjnkc
立創光電股份有限公司,1a2x6bjnn2
博遠智能科技股份有限公司,1a2x6bjow0
炘業科技股份有限公司,1a2x6bjxnl
奧義智慧科技股份有限公司,1a2x6bk9u1
杜浦數位安全有限公司,1a2x6bkavd
創未來科技股份有限公司,1a2x6bkws1
獵速科技股份有限公司,1a2x6bl2xn
英屬維京群島商輝達維京股份有限公司台灣分公司,1a2x6blraq
原睿科技股份有限公司,1a2x6bltde
聯合報股份有限公司,1quaxzk
台灣康寧顯示玻璃股份有限公司,20kl6co
凌群電腦股份有限公司,2a5ju40
研華股份有限公司,2d9ntmw
財團法人國家同步輻射研究中心,2kmqv0o
長庚醫療財團法人,3m0fsrl
思達科技股份有限公司,5shuqf4
鎧睿全球科技股份有限公司,5sz8yeg
群聯電子股份有限公司,5t7gcns
新誼整合科技股份有限公司,5tfvgp4
美超微電腦股份有限公司,5uisvbc
群創光電股份有限公司,5vox8tk
達發科技股份有限公司,5x2b0tk
合盈光電科技股份有限公司,5xifrgg
財團法人國家實驗研究院,76sfnje
聯華電信股份有限公司,7e0a5vs
頎邦科技股份有限公司,7ere2lk
南茂科技股份有限公司,7eres28
奇景光電股份有限公司,7eryo40
合晶科技股份有限公司,7ewbe34
昱勝資訊股份有限公司,7f01i0o
光環科技股份有限公司,7g3p180
全景軟體股份有限公司,7hzjbag
家登精密工業股份有限公司,7jbxn20
凌巨科技股份有限公司,7jrmovk
瀚宇彩晶股份有限公司,7k27b1c
偉康科技股份有限公司,7mdfomw
系微股份有限公司,7mzp948
原相科技股份有限公司,7n30ibs
立錡科技股份有限公司,7nhq1lk
鑫創科技股份有限公司,7pam4d4
曜揚科技股份有限公司,7pnmvd4
哈瑪星科技股份有限公司,7q9m5h4
華苓科技股份有限公司,7qv2jsw
昇達科技股份有限公司,7t52gbk
群光電子股份有限公司,9mjl874
仁寶電腦工業股份有限公司,9qzgnew
台灣積體電路製造股份有限公司,a5h92m0
旺宏電子股份有限公司,a5hi0dc
麗臺科技股份有限公司,a97q9sg
叡揚資訊股份有限公司,aavnrjk
大立光電股份有限公司,absj6xs
京元電子股份有限公司,ac88aaw
瑞昱半導體股份有限公司,aexwm9k
矽格股份有限公司,anzesfk
趨勢科技股份有限公司,apio4y0
亞旭電腦股份有限公司,as8qqso
鈊象電子股份有限公司,asz1lzk
耀登科技股份有限公司,atv7sfk
訊連科技股份有限公司,ay3orts
鋐寶科技股份有限公司,b8gsjt4
大砌國際電子股份有限公司,bhh0fb4
安霸股份有限公司,cl43nso
亞睿資訊股份有限公司,cntudeo
晶心科技股份有限公司,cp2z8s0
力智電子股份有限公司,cusom54
晶焱科技股份有限公司,cwfahe0
隆達電子股份有限公司,cwxklio
英屬維京群島商祥茂光電科技股份有限公司台灣分公司,d1uwq80
神準科技股份有限公司,d3a2s9k
神盾股份有限公司,d8vx7bc
德州儀器工業股份有限公司,fcgywxs
億光電子工業股份有限公司,fuu0th4
利凌企業股份有限公司,gm3pkg8
德義資訊股份有限公司,oe84aqo
均華精密工業股份有限公司,oflnowg
上銀光電股份有限公司,oh0tshk
愛盛科技股份有限公司,ojcn9cg
?星科技股份有限公司,omt3qew
來毅數位科技股份有限公司,op5i3l4
財團法人紡織產業綜合研究所,v9z3w0
群暉科技股份有限公司,wekrf8o
台灣新思科技股份有限公司,wf2apbk
采威國際資訊股份有限公司,wfksusw
穩懋半導體股份有限公司,wi42ew8
力旺電子股份有限公司,win519c
亞太優勢微系統股份有限公司,wj5mha0
日月光半導體製造股份有限公司,yxcvx7k
財團法人印刷創新科技研究發展中心,zzb9p00